"var_names","var_labels","year","survey","type"
"nomem_encr","Number of household member encrypted",NA,"Background","interval"
"gebjaar","Year of birth",NA,"Background","interval"
"geslacht","Gender",NA,"Background","categorical"
"nohouse_encr2007","Number of household encrypted",2007,"Background","interval"
"nohouse_encr2008","Number of household encrypted",2008,"Background","interval"
"nohouse_encr2009","Number of household encrypted",2009,"Background","interval"
"nohouse_encr2010","Number of household encrypted",2010,"Background","interval"
"nohouse_encr2011","Number of household encrypted",2011,"Background","interval"
"nohouse_encr2012","Number of household encrypted",2012,"Background","interval"
"nohouse_encr2013","Number of household encrypted",2013,"Background","interval"
"nohouse_encr2014","Number of household encrypted",2014,"Background","interval"
"nohouse_encr2015","Number of household encrypted",2015,"Background","interval"
"nohouse_encr2016","Number of household encrypted",2016,"Background","interval"
"nohouse_encr2017","Number of household encrypted",2017,"Background","interval"
"nohouse_encr2018","Number of household encrypted",2018,"Background","interval"
"nohouse_encr2019","Number of household encrypted",2019,"Background","interval"
"wave2007","Year and month of the field work period",2007,"Background","interval"
"wave2008","Year and month of the field work period",2008,"Background","interval"
"wave2009","Year and month of the field work period",2009,"Background","interval"
"wave2010","Year and month of the field work period",2010,"Background","interval"
"wave2011","Year and month of the field work period",2011,"Background","interval"
"wave2012","Year and month of the field work period",2012,"Background","interval"
"wave2013","Year and month of the field work period",2013,"Background","interval"
"wave2014","Year and month of the field work period",2014,"Background","interval"
"wave2015","Year and month of the field work period",2015,"Background","interval"
"wave2016","Year and month of the field work period",2016,"Background","interval"
"wave2017","Year and month of the field work period",2017,"Background","interval"
"wave2018","Year and month of the field work period",2018,"Background","interval"
"wave2019","Year and month of the field work period",2019,"Background","interval"
"positie2007","Position within the household",2007,"Background","categorical"
"positie2008","Position within the household",2008,"Background","categorical"
"positie2009","Position within the household",2009,"Background","categorical"
"positie2010","Position within the household",2010,"Background","categorical"
"positie2011","Position within the household",2011,"Background","categorical"
"positie2012","Position within the household",2012,"Background","categorical"
"positie2013","Position within the household",2013,"Background","categorical"
"positie2014","Position within the household",2014,"Background","categorical"
"positie2015","Position within the household",2015,"Background","categorical"
"positie2016","Position within the household",2016,"Background","categorical"
"positie2017","Position within the household",2017,"Background","categorical"
"positie2018","Position within the household",2018,"Background","categorical"
"positie2019","Position within the household",2019,"Background","categorical"
"leeftijd2007","Age of the household member",2007,"Background","interval"
"leeftijd2008","Age of the household member",2008,"Background","interval"
"leeftijd2009","Age of the household member",2009,"Background","interval"
"leeftijd2010","Age of the household member",2010,"Background","interval"
"leeftijd2011","Age of the household member",2011,"Background","interval"
"leeftijd2012","Age of the household member",2012,"Background","interval"
"leeftijd2013","Age of the household member",2013,"Background","interval"
"leeftijd2014","Age of the household member",2014,"Background","interval"
"leeftijd2015","Age of the household member",2015,"Background","interval"
"leeftijd2016","Age of the household member",2016,"Background","interval"
"leeftijd2017","Age of the household member",2017,"Background","interval"
"leeftijd2018","Age of the household member",2018,"Background","interval"
"leeftijd2019","Age of the household member",2019,"Background","interval"
"lftdcat2007","Age in CBS (Statistics Netherlands) categories",2007,"Background","categorical"
"lftdcat2008","Age in CBS (Statistics Netherlands) categories",2008,"Background","categorical"
"lftdcat2009","Age in CBS (Statistics Netherlands) categories",2009,"Background","categorical"
"lftdcat2010","Age in CBS (Statistics Netherlands) categories",2010,"Background","categorical"
"lftdcat2011","Age in CBS (Statistics Netherlands) categories",2011,"Background","categorical"
"lftdcat2012","Age in CBS (Statistics Netherlands) categories",2012,"Background","categorical"
"lftdcat2013","Age in CBS (Statistics Netherlands) categories",2013,"Background","categorical"
"lftdcat2014","Age in CBS (Statistics Netherlands) categories",2014,"Background","categorical"
"lftdcat2015","Age in CBS (Statistics Netherlands) categories",2015,"Background","categorical"
"lftdcat2016","Age in CBS (Statistics Netherlands) categories",2016,"Background","categorical"
"lftdcat2017","Age in CBS (Statistics Netherlands) categories",2017,"Background","categorical"
"lftdcat2018","Age in CBS (Statistics Netherlands) categories",2018,"Background","categorical"
"lftdcat2019","Age in CBS (Statistics Netherlands) categories",2019,"Background","categorical"
"lftdhhh2007","Age of the household head",2007,"Background","interval"
"lftdhhh2008","Age of the household head",2008,"Background","interval"
"lftdhhh2009","Age of the household head",2009,"Background","interval"
"lftdhhh2010","Age of the household head",2010,"Background","interval"
"lftdhhh2011","Age of the household head",2011,"Background","interval"
"lftdhhh2012","Age of the household head",2012,"Background","interval"
"lftdhhh2013","Age of the household head",2013,"Background","interval"
"lftdhhh2014","Age of the household head",2014,"Background","interval"
"lftdhhh2015","Age of the household head",2015,"Background","interval"
"lftdhhh2016","Age of the household head",2016,"Background","interval"
"lftdhhh2017","Age of the household head",2017,"Background","interval"
"lftdhhh2018","Age of the household head",2018,"Background","interval"
"lftdhhh2019","Age of the household head",2019,"Background","interval"
"aantalhh2007","Number of household members",2007,"Background","interval"
"aantalhh2008","Number of household members",2008,"Background","interval"
"aantalhh2009","Number of household members",2009,"Background","interval"
"aantalhh2010","Number of household members",2010,"Background","interval"
"aantalhh2011","Number of household members",2011,"Background","interval"
"aantalhh2012","Number of household members",2012,"Background","interval"
"aantalhh2013","Number of household members",2013,"Background","interval"
"aantalhh2014","Number of household members",2014,"Background","interval"
"aantalhh2015","Number of household members",2015,"Background","interval"
"aantalhh2016","Number of household members",2016,"Background","interval"
"aantalhh2017","Number of household members",2017,"Background","interval"
"aantalhh2018","Number of household members",2018,"Background","interval"
"aantalhh2019","Number of household members",2019,"Background","interval"
"aantalki2007","Number of living-at-home children in the household, children of the household head or his/her partner",2007,"Background","interval"
"aantalki2008","Number of living-at-home children in the household, children of the household head or his/her partner",2008,"Background","interval"
"aantalki2009","Number of living-at-home children in the household, children of the household head or his/her partner",2009,"Background","interval"
"aantalki2010","Number of living-at-home children in the household, children of the household head or his/her partner",2010,"Background","interval"
"aantalki2011","Number of living-at-home children in the household, children of the household head or his/her partner",2011,"Background","interval"
"aantalki2012","Number of living-at-home children in the household, children of the household head or his/her partner",2012,"Background","interval"
"aantalki2013","Number of living-at-home children in the household, children of the household head or his/her partner",2013,"Background","interval"
"aantalki2014","Number of living-at-home children in the household, children of the household head or his/her partner",2014,"Background","interval"
"aantalki2015","Number of living-at-home children in the household, children of the household head or his/her partner",2015,"Background","interval"
"aantalki2016","Number of living-at-home children in the household, children of the household head or his/her partner",2016,"Background","interval"
"aantalki2017","Number of living-at-home children in the household, children of the household head or his/her partner",2017,"Background","interval"
"aantalki2018","Number of living-at-home children in the household, children of the household head or his/her partner",2018,"Background","interval"
"aantalki2019","Number of living-at-home children in the household, children of the household head or his/her partner",2019,"Background","interval"
"partner2007","The household head lives together with a partner (wedded or unwedded)",2007,"Background","categorical"
"partner2008","The household head lives together with a partner (wedded or unwedded)",2008,"Background","categorical"
"partner2009","The household head lives together with a partner (wedded or unwedded)",2009,"Background","categorical"
"partner2010","The household head lives together with a partner (wedded or unwedded)",2010,"Background","categorical"
"partner2011","The household head lives together with a partner (wedded or unwedded)",2011,"Background","categorical"
"partner2012","The household head lives together with a partner (wedded or unwedded)",2012,"Background","categorical"
"partner2013","The household head lives together with a partner (wedded or unwedded)",2013,"Background","categorical"
"partner2014","The household head lives together with a partner (wedded or unwedded)",2014,"Background","categorical"
"partner2015","The household head lives together with a partner (wedded or unwedded)",2015,"Background","categorical"
"partner2016","The household head lives together with a partner (wedded or unwedded)",2016,"Background","categorical"
"partner2017","The household head lives together with a partner (wedded or unwedded)",2017,"Background","categorical"
"partner2018","The household head lives together with a partner (wedded or unwedded)",2018,"Background","categorical"
"partner2019","The household head lives together with a partner (wedded or unwedded)",2019,"Background","categorical"
"burgstat2007","Civil status",2007,"Background","categorical"
"burgstat2008","Civil status",2008,"Background","categorical"
"burgstat2009","Civil status",2009,"Background","categorical"
"burgstat2010","Civil status",2010,"Background","categorical"
"burgstat2011","Civil status",2011,"Background","categorical"
"burgstat2012","Civil status",2012,"Background","categorical"
"burgstat2013","Civil status",2013,"Background","categorical"
"burgstat2014","Civil status",2014,"Background","categorical"
"burgstat2015","Civil status",2015,"Background","categorical"
"burgstat2016","Civil status",2016,"Background","categorical"
"burgstat2017","Civil status",2017,"Background","categorical"
"burgstat2018","Civil status",2018,"Background","categorical"
"burgstat2019","Civil status",2019,"Background","categorical"
"woonvorm2007","Domestic situation",2007,"Background","categorical"
"woonvorm2008","Domestic situation",2008,"Background","categorical"
"woonvorm2009","Domestic situation",2009,"Background","categorical"
"woonvorm2010","Domestic situation",2010,"Background","categorical"
"woonvorm2011","Domestic situation",2011,"Background","categorical"
"woonvorm2012","Domestic situation",2012,"Background","categorical"
"woonvorm2013","Domestic situation",2013,"Background","categorical"
"woonvorm2014","Domestic situation",2014,"Background","categorical"
"woonvorm2015","Domestic situation",2015,"Background","categorical"
"woonvorm2016","Domestic situation",2016,"Background","categorical"
"woonvorm2017","Domestic situation",2017,"Background","categorical"
"woonvorm2018","Domestic situation",2018,"Background","categorical"
"woonvorm2019","Domestic situation",2019,"Background","categorical"
"woning2007","Type of dwelling that the household inhabits",2007,"Background","categorical"
"woning2008","Type of dwelling that the household inhabits",2008,"Background","categorical"
"woning2009","Type of dwelling that the household inhabits",2009,"Background","categorical"
"woning2010","Type of dwelling that the household inhabits",2010,"Background","categorical"
"woning2011","Type of dwelling that the household inhabits",2011,"Background","categorical"
"woning2012","Type of dwelling that the household inhabits",2012,"Background","categorical"
"woning2013","Type of dwelling that the household inhabits",2013,"Background","categorical"
"woning2014","Type of dwelling that the household inhabits",2014,"Background","categorical"
"woning2015","Type of dwelling that the household inhabits",2015,"Background","categorical"
"woning2016","Type of dwelling that the household inhabits",2016,"Background","categorical"
"woning2017","Type of dwelling that the household inhabits",2017,"Background","categorical"
"woning2018","Type of dwelling that the household inhabits",2018,"Background","categorical"
"woning2019","Type of dwelling that the household inhabits",2019,"Background","categorical"
"belbezig2007","Primary occupation",2007,"Background","categorical"
"belbezig2008","Primary occupation",2008,"Background","categorical"
"belbezig2009","Primary occupation",2009,"Background","categorical"
"belbezig2010","Primary occupation",2010,"Background","categorical"
"belbezig2011","Primary occupation",2011,"Background","categorical"
"belbezig2012","Primary occupation",2012,"Background","categorical"
"belbezig2013","Primary occupation",2013,"Background","categorical"
"belbezig2014","Primary occupation",2014,"Background","categorical"
"belbezig2015","Primary occupation",2015,"Background","categorical"
"belbezig2016","Primary occupation",2016,"Background","categorical"
"belbezig2017","Primary occupation",2017,"Background","categorical"
"belbezig2018","Primary occupation",2018,"Background","categorical"
"belbezig2019","Primary occupation",2019,"Background","categorical"
"brutoink2007","Personal gross monthly income in Euros",2007,"Background","interval"
"brutoink2008","Personal gross monthly income in Euros",2008,"Background","interval"
"brutoink2009","Personal gross monthly income in Euros",2009,"Background","interval"
"brutoink2010","Personal gross monthly income in Euros",2010,"Background","interval"
"brutoink2011","Personal gross monthly income in Euros",2011,"Background","interval"
"brutoink2012","Personal gross monthly income in Euros",2012,"Background","interval"
"brutoink2013","Personal gross monthly income in Euros",2013,"Background","interval"
"brutoink2014","Personal gross monthly income in Euros",2014,"Background","interval"
"brutoink2015","Personal gross monthly income in Euros",2015,"Background","interval"
"brutoink2016","Personal gross monthly income in Euros",2016,"Background","interval"
"brutoink2017","Personal gross monthly income in Euros",2017,"Background","interval"
"brutoink2018","Personal gross monthly income in Euros",2018,"Background","interval"
"brutoink2019","Personal gross monthly income in Euros",2019,"Background","interval"
"nettoink2007","Personal net monthly income in Euros (incl. nettocat)",2007,"Background","interval"
"nettoink2008","Personal net monthly income in Euros (incl. nettocat)",2008,"Background","interval"
"nettoink2009","Personal net monthly income in Euros (incl. nettocat)",2009,"Background","interval"
"nettoink2010","Personal net monthly income in Euros (incl. nettocat)",2010,"Background","interval"
"nettoink2011","Personal net monthly income in Euros (incl. nettocat)",2011,"Background","interval"
"nettoink2012","Personal net monthly income in Euros (incl. nettocat)",2012,"Background","interval"
"nettoink2013","Personal net monthly income in Euros (incl. nettocat)",2013,"Background","interval"
"nettoink2014","Personal net monthly income in Euros (incl. nettocat)",2014,"Background","interval"
"nettoink2015","Personal net monthly income in Euros (incl. nettocat)",2015,"Background","interval"
"nettoink2016","Personal net monthly income in Euros (incl. nettocat)",2016,"Background","interval"
"nettoink2017","Personal net monthly income in Euros (incl. nettocat)",2017,"Background","interval"
"nettoink2018","Personal net monthly income in Euros (incl. nettocat)",2018,"Background","interval"
"nettoink2019","Personal net monthly income in Euros (incl. nettocat)",2019,"Background","interval"
"brutocat2007","Personal gross monthly income in categories",2007,"Background","categorical"
"brutocat2008","Personal gross monthly income in categories",2008,"Background","categorical"
"brutocat2009","Personal gross monthly income in categories",2009,"Background","categorical"
"brutocat2010","Personal gross monthly income in categories",2010,"Background","categorical"
"brutocat2011","Personal gross monthly income in categories",2011,"Background","categorical"
"brutocat2012","Personal gross monthly income in categories",2012,"Background","categorical"
"brutocat2013","Personal gross monthly income in categories",2013,"Background","categorical"
"brutocat2014","Personal gross monthly income in categories",2014,"Background","categorical"
"brutocat2015","Personal gross monthly income in categories",2015,"Background","categorical"
"brutocat2016","Personal gross monthly income in categories",2016,"Background","categorical"
"brutocat2017","Personal gross monthly income in categories",2017,"Background","categorical"
"brutocat2018","Personal gross monthly income in categories",2018,"Background","categorical"
"brutocat2019","Personal gross monthly income in categories",2019,"Background","categorical"
"nettocat2007","Personal net monthly income in categories",2007,"Background","categorical"
"nettocat2008","Personal net monthly income in categories",2008,"Background","categorical"
"nettocat2009","Personal net monthly income in categories",2009,"Background","categorical"
"nettocat2010","Personal net monthly income in categories",2010,"Background","categorical"
"nettocat2011","Personal net monthly income in categories",2011,"Background","categorical"
"nettocat2012","Personal net monthly income in categories",2012,"Background","categorical"
"nettocat2013","Personal net monthly income in categories",2013,"Background","categorical"
"nettocat2014","Personal net monthly income in categories",2014,"Background","categorical"
"nettocat2015","Personal net monthly income in categories",2015,"Background","categorical"
"nettocat2016","Personal net monthly income in categories",2016,"Background","categorical"
"nettocat2017","Personal net monthly income in categories",2017,"Background","categorical"
"nettocat2018","Personal net monthly income in categories",2018,"Background","categorical"
"nettocat2019","Personal net monthly income in categories",2019,"Background","categorical"
"oplzon2007","Highest level of education irrespective of diploma",2007,"Background","categorical"
"oplzon2008","Highest level of education irrespective of diploma",2008,"Background","categorical"
"oplzon2009","Highest level of education irrespective of diploma",2009,"Background","categorical"
"oplzon2010","Highest level of education irrespective of diploma",2010,"Background","categorical"
"oplzon2011","Highest level of education irrespective of diploma",2011,"Background","categorical"
"oplzon2012","Highest level of education irrespective of diploma",2012,"Background","categorical"
"oplzon2013","Highest level of education irrespective of diploma",2013,"Background","categorical"
"oplzon2014","Highest level of education irrespective of diploma",2014,"Background","categorical"
"oplzon2015","Highest level of education irrespective of diploma",2015,"Background","categorical"
"oplzon2016","Highest level of education irrespective of diploma",2016,"Background","categorical"
"oplzon2017","Highest level of education irrespective of diploma",2017,"Background","categorical"
"oplzon2018","Highest level of education irrespective of diploma",2018,"Background","categorical"
"oplzon2019","Highest level of education irrespective of diploma",2019,"Background","categorical"
"oplmet2007","Highest level of education with diploma",2007,"Background","categorical"
"oplmet2008","Highest level of education with diploma",2008,"Background","categorical"
"oplmet2009","Highest level of education with diploma",2009,"Background","categorical"
"oplmet2010","Highest level of education with diploma",2010,"Background","categorical"
"oplmet2011","Highest level of education with diploma",2011,"Background","categorical"
"oplmet2012","Highest level of education with diploma",2012,"Background","categorical"
"oplmet2013","Highest level of education with diploma",2013,"Background","categorical"
"oplmet2014","Highest level of education with diploma",2014,"Background","categorical"
"oplmet2015","Highest level of education with diploma",2015,"Background","categorical"
"oplmet2016","Highest level of education with diploma",2016,"Background","categorical"
"oplmet2017","Highest level of education with diploma",2017,"Background","categorical"
"oplmet2018","Highest level of education with diploma",2018,"Background","categorical"
"oplmet2019","Highest level of education with diploma",2019,"Background","categorical"
"oplcat2007","Level of education in CBS (Statistics Netherlands) categories",2007,"Background","categorical"
"oplcat2008","Level of education in CBS (Statistics Netherlands) categories",2008,"Background","categorical"
"oplcat2009","Level of education in CBS (Statistics Netherlands) categories",2009,"Background","categorical"
"oplcat2010","Level of education in CBS (Statistics Netherlands) categories",2010,"Background","categorical"
"oplcat2011","Level of education in CBS (Statistics Netherlands) categories",2011,"Background","categorical"
"oplcat2012","Level of education in CBS (Statistics Netherlands) categories",2012,"Background","categorical"
"oplcat2013","Level of education in CBS (Statistics Netherlands) categories",2013,"Background","categorical"
"oplcat2014","Level of education in CBS (Statistics Netherlands) categories",2014,"Background","categorical"
"oplcat2015","Level of education in CBS (Statistics Netherlands) categories",2015,"Background","categorical"
"oplcat2016","Level of education in CBS (Statistics Netherlands) categories",2016,"Background","categorical"
"oplcat2017","Level of education in CBS (Statistics Netherlands) categories",2017,"Background","categorical"
"oplcat2018","Level of education in CBS (Statistics Netherlands) categories",2018,"Background","categorical"
"oplcat2019","Level of education in CBS (Statistics Netherlands) categories",2019,"Background","categorical"
"doetmee2007","Household member participates in the panel",2007,"Background","categorical"
"doetmee2008","Household member participates in the panel",2008,"Background","categorical"
"doetmee2009","Household member participates in the panel",2009,"Background","categorical"
"doetmee2010","Household member participates in the panel",2010,"Background","categorical"
"doetmee2011","Household member participates in the panel",2011,"Background","categorical"
"doetmee2012","Household member participates in the panel",2012,"Background","categorical"
"doetmee2013","Household member participates in the panel",2013,"Background","categorical"
"doetmee2014","Household member participates in the panel",2014,"Background","categorical"
"doetmee2015","Household member participates in the panel",2015,"Background","categorical"
"doetmee2016","Household member participates in the panel",2016,"Background","categorical"
"doetmee2017","Household member participates in the panel",2017,"Background","categorical"
"doetmee2018","Household member participates in the panel",2018,"Background","categorical"
"doetmee2019","Household member participates in the panel",2019,"Background","categorical"
"sted2008","Urban character of place of residence",2008,"Background","categorical"
"sted2009","Urban character of place of residence",2009,"Background","categorical"
"sted2010","Urban character of place of residence",2010,"Background","categorical"
"sted2011","Urban character of place of residence",2011,"Background","categorical"
"sted2012","Urban character of place of residence",2012,"Background","categorical"
"sted2013","Urban character of place of residence",2013,"Background","categorical"
"sted2014","Urban character of place of residence",2014,"Background","categorical"
"sted2015","Urban character of place of residence",2015,"Background","categorical"
"sted2016","Urban character of place of residence",2016,"Background","categorical"
"sted2017","Urban character of place of residence",2017,"Background","categorical"
"sted2018","Urban character of place of residence",2018,"Background","categorical"
"sted2019","Urban character of place of residence",2019,"Background","categorical"
"simpc2008","Does the household have a simPC?",2008,"Background","categorical"
"simpc2009","Does the household have a simPC?",2009,"Background","categorical"
"simpc2010","Does the household have a simPC?",2010,"Background","categorical"
"simpc2011","Does the household have a simPC?",2011,"Background","categorical"
"simpc2012","Does the household have a simPC?",2012,"Background","categorical"
"simpc2013","Does the household have a simPC?",2013,"Background","categorical"
"simpc2014","Does the household have a simPC?",2014,"Background","categorical"
"simpc2015","Does the household have a simPC?",2015,"Background","categorical"
"simpc2016","Does the household have a simPC?",2016,"Background","categorical"
"simpc2017","Does the household have a simPC?",2017,"Background","categorical"
"simpc2018","Does the household have a simPC?",2018,"Background","categorical"
"simpc2019","Does the household have a simPC?",2019,"Background","categorical"
"brutoink_f2008","Personal gross monthly income in Euros, imputed",2008,"Background","interval"
"brutoink_f2009","Personal gross monthly income in Euros, imputed",2009,"Background","interval"
"brutoink_f2010","Personal gross monthly income in Euros, imputed",2010,"Background","interval"
"brutoink_f2011","Personal gross monthly income in Euros, imputed",2011,"Background","interval"
"brutoink_f2012","Personal gross monthly income in Euros, imputed",2012,"Background","interval"
"brutoink_f2013","Personal gross monthly income in Euros, imputed",2013,"Background","interval"
"brutoink_f2014","Personal gross monthly income in Euros, imputed",2014,"Background","interval"
"brutoink_f2015","Personal gross monthly income in Euros, imputed",2015,"Background","interval"
"brutoink_f2016","Personal gross monthly income in Euros, imputed",2016,"Background","interval"
"brutoink_f2017","Personal gross monthly income in Euros, imputed",2017,"Background","interval"
