"","last3letters","n_waves","which_waves","var_names","n_unique_labels","unique_labels","value_labels"
"1","nomem_encr","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nomem_encr","1","Number of household member encrypted","NULL"
"2","gebjaar","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","gebjaar","1","Year of birth","NULL"
"3","geslacht","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","geslacht","1","Gender","c(Male = 1, Female = 2)"
"4","nohouse_encr","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nohouse_encr2007, nohouse_encr2008, nohouse_encr2009, nohouse_encr2010, nohouse_encr2011, nohouse_encr2012, nohouse_encr2013, nohouse_encr2014, nohouse_encr2015, nohouse_encr2016, nohouse_encr2017, nohouse_encr2018, nohouse_encr2019","1","Number of household encrypted","NULL"
"5","wave","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","wave2007, wave2008, wave2009, wave2010, wave2011, wave2012, wave2013, wave2014, wave2015, wave2016, wave2017, wave2018, wave2019","1","Year and month of the field work period","NULL"
"6","positie","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","positie2007, positie2008, positie2009, positie2010, positie2011, positie2012, positie2013, positie2014, positie2015, positie2016, positie2017, positie2018, positie2019","1","Position within the household","c(`Household head` = 1, `Wedded partner` = 2, `Unwedded partner` = 3, `Parent (in law)` = 4, `Child living at home` = 5, Housemate = 6, `Family member or boarder` = 7, `Unknown (missing)` = 9)"
"7","leeftijd","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","leeftijd2007, leeftijd2008, leeftijd2009, leeftijd2010, leeftijd2011, leeftijd2012, leeftijd2013, leeftijd2014, leeftijd2015, leeftijd2016, leeftijd2017, leeftijd2018, leeftijd2019","1","Age of the household member","NULL"
"8","lftdcat","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","lftdcat2007, lftdcat2008, lftdcat2009, lftdcat2010, lftdcat2011, lftdcat2012, lftdcat2013, lftdcat2014, lftdcat2015, lftdcat2016, lftdcat2017, lftdcat2018, lftdcat2019","1","Age in CBS (Statistics Netherlands) categories","c(`14 years and younger` = 1, `15 - 24 years` = 2, `25 - 34 years` = 3, `35 - 44 years` = 4, `45 - 54 years` = 5, `55 - 64 years` = 6, `65 years and older` = 7)"
"9","lftdhhh","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","lftdhhh2007, lftdhhh2008, lftdhhh2009, lftdhhh2010, lftdhhh2011, lftdhhh2012, lftdhhh2013, lftdhhh2014, lftdhhh2015, lftdhhh2016, lftdhhh2017, lftdhhh2018, lftdhhh2019","1","Age of the household head","NULL"
"10","aantalhh","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","aantalhh2007, aantalhh2008, aantalhh2009, aantalhh2010, aantalhh2011, aantalhh2012, aantalhh2013, aantalhh2014, aantalhh2015, aantalhh2016, aantalhh2017, aantalhh2018, aantalhh2019","1","Number of household members","c(`One person` = 1, `Two persons` = 2, `Three persons` = 3, `Four persons` = 4, `Five persons` = 5, `Six persons` = 6, `Seven persons` = 7, `Eight persons` = 8, `Nine persons or more` = 9)"
"11","aantalki","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","aantalki2007, aantalki2008, aantalki2009, aantalki2010, aantalki2011, aantalki2012, aantalki2013, aantalki2014, aantalki2015, aantalki2016, aantalki2017, aantalki2018, aantalki2019","1","Number of living-at-home children in the household, children of the household head or his/her partner","c(None = 0, `One child` = 1, `Two children` = 2, `Three children` = 3, `Four children` = 4, `Five children` = 5, `Six children` = 6, `Seven children` = 7, `Eight children` = 8, `Nine children or more` = 9)"
"12","partner","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","partner2007, partner2008, partner2009, partner2010, partner2011, partner2012, partner2013, partner2014, partner2015, partner2016, partner2017, partner2018, partner2019","1","The household head lives together with a partner (wedded or unwedded)","c(No = 0, Yes = 1)"
"13","burgstat","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","burgstat2007, burgstat2008, burgstat2009, burgstat2010, burgstat2011, burgstat2012, burgstat2013, burgstat2014, burgstat2015, burgstat2016, burgstat2017, burgstat2018, burgstat2019","1","Civil status","c(Married = 1, Separated = 2, Divorced = 3, `Widow or widower` = 4, `Never been married` = 5)"
"14","woonvorm","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","woonvorm2007, woonvorm2008, woonvorm2009, woonvorm2010, woonvorm2011, woonvorm2012, woonvorm2013, woonvorm2014, woonvorm2015, woonvorm2016, woonvorm2017, woonvorm2018, woonvorm2019","1","Domestic situation","c(Single = 1, `(Un)married co-habitation, without child(ren)` = 2, `(Un)married co-habitation, with child(ren)` = 3, `Single, with child(ren)` = 4, Other = 5)"
"15","woning","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","woning2007, woning2008, woning2009, woning2010, woning2011, woning2012, woning2013, woning2014, woning2015, woning2016, woning2017, woning2018, woning2019","1","Type of dwelling that the household inhabits","c(`Self-owned dwelling` = 1, `Rental dwelling` = 2, `Sub-rented dwelling` = 3, `Cost-free dwelling` = 4, `Unknown (missing)` = 9)"
"16","belbezig","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","belbezig2007, belbezig2008, belbezig2009, belbezig2010, belbezig2011, belbezig2012, belbezig2013, belbezig2014, belbezig2015, belbezig2016, belbezig2017, belbezig2018, belbezig2019","1","Primary occupation","c(`Paid employment` = 1, `Works or assists in family business` = 2, `Autonomous professional, freelancer, or self-employed` = 3, `Job seeker following job loss` = 4, `First-time job seeker` = 5, `Exempted from job seeking following job loss` = 6, `Attends school or is studying` = 7, `Takes care of the housekeeping` = 8, `Is pensioner ([voluntary] early retirement, old age pension scheme)` = 9, `Has (partial) work disability` = 10, `Performs unpaid work while retaining unemployment benefit` = 11, 
`Performs voluntary work` = 12, `Does something else` = 13, `Is too young to have an occupation` = 14)"
"17","brutoink","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","brutoink2007, brutoink2008, brutoink2009, brutoink2010, brutoink2011, brutoink2012, brutoink2013, brutoink2014, brutoink2015, brutoink2016, brutoink2017, brutoink2018, brutoink2019","1","Personal gross monthly income in Euros","c(`Unknown (missing)` = -15, `I dont know` = -13)"
"18","nettoink","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nettoink2007, nettoink2008, nettoink2009, nettoink2010, nettoink2011, nettoink2012, nettoink2013, nettoink2014, nettoink2015, nettoink2016, nettoink2017, nettoink2018, nettoink2019","1","Personal net monthly income in Euros (incl. nettocat)","c(`Unknown (missing)` = -15, `Prefer not to say` = -14, `I dont know` = -13)"
"19","brutocat","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","brutocat2007, brutocat2008, brutocat2009, brutocat2010, brutocat2011, brutocat2012, brutocat2013, brutocat2014, brutocat2015, brutocat2016, brutocat2017, brutocat2018, brutocat2019","1","Personal gross monthly income in categories","c(`No income` = 0, `EUR 500 or less` = 1, `EUR 501 to EUR 1000` = 2, `EUR 1001 to EUR 1500` = 3, `EUR 1501 to EUR 2000` = 4, `EUR 2001 to EUR 2500` = 5, `EUR 2501 to EUR 3000` = 6, `EUR 3001 to EUR 3500` = 7, `EUR 3501 to EUR 4000` = 8, `EUR 4001 to EUR 4500` = 9, `EUR 4501 to EUR 5000` = 10, `EUR 5001 to EUR 7500` = 11, `More than EUR 7500` = 12, `I dont know` = 13)"
"20","nettocat","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","nettocat2007, nettocat2008, nettocat2009, nettocat2010, nettocat2011, nettocat2012, nettocat2013, nettocat2014, nettocat2015, nettocat2016, nettocat2017, nettocat2018, nettocat2019","1","Personal net monthly income in categories","c(`No income` = 0, `EUR 500 or less` = 1, `EUR 501 to EUR 1000` = 2, `EUR 1001 to EUR 1500` = 3, `EUR 1501 to EUR 2000` = 4, `EUR 2001 to EUR 2500` = 5, `EUR 2501 to EUR 3000` = 6, `EUR 3001 to EUR 3500` = 7, `EUR 3501 to EUR 4000` = 8, `EUR 4001 to EUR 4500` = 9, `EUR 4501 to EUR 5000` = 10, `EUR 5001 to EUR 7500` = 11, `More than EUR 7500` = 12, `I really dont know` = 13, `I prefer not to say` = 14)"
"21","oplzon","13","2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019","oplzon2007, oplzon2008, oplzon2009, oplzon2010, oplzon2011, oplzon2012, oplzon2013, oplzon2014, oplzon2015, oplzon2016, oplzon2017, oplzon2018, oplzon2019","1","Highest level of education irrespective of diploma","c(`primary school` = 1, `vmbo (intermediate secondary education, US: junior high school)` = 2, `havo/vwo (higher secondary education/preparatory university education, US: senior high school)` = 3, `mbo (intermediate vocational education, US: junior college)` = 4, `hbo (higher vocational education, US: college)` = 5, `wo (university)` = 6, other = 7, `Not yet completed any education` = 8, `Not yet started any education` = 9)"
